,anomaly_index_end,anomaly_index_start,file_name,file_number,file_path,mnemonic,row_count,training_index_end,alpha,dataset,false_negatives,false_positives,method,precision_back,precision_flat,precision_front,precision_mid,recall_back,recall_flat,recall_front,recall_mid,total_anomalies,total_count,true_negatives,true_positives,condition
34,46900,46600,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,3,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,DISTORTED3sddb40,80000,35000,1.0,all,13.0,52592.0,sigma,0.0009619653692467072,0.0009619653692467072,0.0009619653692467072,0.0009619653692467072,0.0009619653692467072,0.0009619653692467072,0.0009619653692467072,0.0009619653692467072,52880.0,80000,27107.0,288.0,any
35,46900,46600,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,3,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,DISTORTED3sddb40,80000,35000,1.0,test_set,13.0,29305.0,sigma,0.0017096265123619147,0.0017096265123619147,0.0017096265123619147,0.0017096265123619147,0.0017096265123619147,0.0017096265123619147,0.0017096265123619147,0.0017096265123619147,29593.0,45000,15394.0,288.0,any
36,5600,5400,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,4,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,DISTORTEDBIDMC1,11000,2500,0.5,all,0.0,10798.0,oneliner,0.5091355329823373,0.5091371942903901,0.5091388555984429,0.5181057685950413,0.5091355329823373,0.5091371942903901,0.5091388555984429,0.5181057685950413,10999.0,11000,1.0,201.0,
37,5600,5400,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,4,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,DISTORTEDBIDMC1,11000,2500,0.5,test_set,0.0,8299.0,oneliner,0.5083450389919525,0.5118235294117647,0.5153020198315769,0.5166881149072191,0.5083450389919525,0.5118235294117647,0.5153020198315769,0.5166881149072191,8500.0,8500,0.0,201.0,
38,5600,5400,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,4,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,DISTORTEDBIDMC1,11000,2500,1.0,all,0.0,10798.0,oneliner,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10999.0,11000,1.0,201.0,
39,5600,5400,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,4,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,DISTORTEDBIDMC1,11000,2500,1.0,test_set,0.0,8299.0,oneliner,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8500.0,8500,0.0,201.0,
40,5600,5400,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,4,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,DISTORTEDBIDMC1,11000,2500,0.5,all,0.0,10756.0,sigma,0.01976824249252774,0.018607442977190875,0.017446643461854015,0.02116298908689908,0.01976824249252774,0.018607442977190875,0.017446643461854015,0.02116298908689908,10957.0,11000,43.0,201.0,all
41,5600,5400,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,4,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,DISTORTEDBIDMC1,11000,2500,0.5,test_set,0.0,8265.0,sigma,0.023721890991033286,0.02232893157262905,0.020935972154224818,0.025395586904278893,0.023721890991033286,0.02232893157262905,0.020935972154224818,0.025395586904278893,8466.0,8500,34.0,201.0,all
42,5600,5400,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,4,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,DISTORTEDBIDMC1,11000,2500,1.0,all,0.0,10756.0,sigma,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,10957.0,11000,43.0,201.0,all
43,5600,5400,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,4,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,DISTORTEDBIDMC1,11000,2500,1.0,test_set,0.0,8265.0,sigma,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,8466.0,8500,34.0,201.0,all
44,5600,5400,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,4,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,DISTORTEDBIDMC1,11000,2500,0.5,all,0.0,10756.0,sigma,0.01976824249252774,0.018607442977190875,0.017446643461854015,0.02116298908689908,0.01976824249252774,0.018607442977190875,0.017446643461854015,0.02116298908689908,10957.0,11000,43.0,201.0,any
45,5600,5400,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,4,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,DISTORTEDBIDMC1,11000,2500,0.5,test_set,0.0,8265.0,sigma,0.023721890991033286,0.02232893157262905,0.020935972154224818,0.025395586904278893,0.023721890991033286,0.02232893157262905,0.020935972154224818,0.025395586904278893,8466.0,8500,34.0,201.0,any
46,5600,5400,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,4,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,DISTORTEDBIDMC1,11000,2500,1.0,all,0.0,10756.0,sigma,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,10957.0,11000,43.0,201.0,any
47,5600,5400,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,4,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,DISTORTEDBIDMC1,11000,2500,1.0,test_set,0.0,8265.0,sigma,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,8466.0,8500,34.0,201.0,any
48,5392,5391,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,5,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,DISTORTEDCIMIS44AirTemperature1,8184,4000,0.5,all,0.0,8180.0,oneliner,0.50016099279698,0.5001222195062331,0.5000834462154864,0.5001668720384469,0.50016099279698,0.5001222195062331,0.5000834462154864,0.5001668720384469,8182.0,8184,2.0,2.0,
49,5392,5391,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,5,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,DISTORTEDCIMIS44AirTemperature1,8184,4000,0.5,test_set,0.0,4182.0,oneliner,0.5001589373867792,0.5002390057361377,0.5003190740854961,0.5003177988359633,0.5001589373867792,0.5002390057361377,0.5003190740854961,0.5003177988359633,4184.0,4184,0.0,2.0,
50,5392,5391,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,5,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,DISTORTEDCIMIS44AirTemperature1,8184,4000,1.0,all,0.0,8180.0,oneliner,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8182.0,8184,2.0,2.0,
51,5392,5391,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,5,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,DISTORTEDCIMIS44AirTemperature1,8184,4000,1.0,test_set,0.0,4182.0,oneliner,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4184.0,4184,0.0,2.0,
52,5392,5391,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,5,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,DISTORTEDCIMIS44AirTemperature1,8184,4000,0.5,all,0.0,4261.0,sigma,0.001047861795525347,0.0009345794392523364,0.0008212970829793259,0.0008566978193146419,0.001047861795525347,0.0009345794392523364,0.0008212970829793259,0.0008566978193146419,4263.0,8184,3921.0,2.0,all
53,5392,5391,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,5,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,DISTORTEDCIMIS44AirTemperature1,8184,4000,0.5,test_set,0.0,2186.0,sigma,0.0020324086789343587,0.0018126888217522659,0.0015929689645701728,0.0016616314199395773,0.0020324086789343587,0.0018126888217522659,0.0015929689645701728,0.0016616314199395773,2188.0,4184,1996.0,2.0,all
